,tot_t,obs_next,reward,obs,t,stage,action,blockID,trialID,is_done,randomplanet,rewardplanet,highstate,transition,p_trans,p_reward_high,p_reward_low,p_ambiguity
0,1,1.0,0.0,0.0,1,0,2,1,1.0,False,0.0,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
1,2,0.0,0.0,1.0,0,1,0,1,1.0,False,,[1. 0.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
2,3,2.0,0.0,0.0,1,0,1,1,2.0,False,,[1. 0.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
3,4,0.0,0.0,2.0,0,1,0,1,2.0,False,1.0,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
4,5,2.0,0.0,0.0,1,0,2,1,3.0,False,1.0,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
5,6,0.0,0.0,2.0,0,1,0,1,3.0,False,1.0,[0. 1.],1,[1 1],[0.1 0.1],0.7,0.30000000000000004,0.6
6,7,2.0,0.0,0.0,1,0,1,1,4.0,False,1.0,[0. 1.],1,[1 1],[0.1 0.1],0.7,0.30000000000000004,0.6
7,8,0.0,0.0,2.0,0,1,0,1,4.0,False,,[1. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
8,9,1.0,0.0,0.0,1,0,2,1,5.0,False,,[1. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
9,10,0.0,1.0,1.0,0,1,0,1,5.0,False,0.0,[1. 1.],1,[2 2],[0.1 0.1],0.7,0.30000000000000004,0.6
10,11,1.0,0.0,0.0,1,0,2,1,6.0,False,0.0,[1. 1.],1,[2 2],[0.1 0.1],0.7,0.30000000000000004,0.6
11,12,0.0,1.0,1.0,0,1,0,1,6.0,False,,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
12,13,1.0,0.0,0.0,1,0,2,1,7.0,False,,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
13,14,0.0,0.0,1.0,0,1,0,1,7.0,False,,[1. 0.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
14,15,1.0,0.0,0.0,1,0,2,1,8.0,False,,[1. 0.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
15,16,0.0,1.0,1.0,0,1,0,1,8.0,False,,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
16,17,1.0,0.0,0.0,1,0,2,1,9.0,False,,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
17,18,0.0,0.0,1.0,0,1,0,1,9.0,False,0.0,[0. 0.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
18,19,1.0,0.0,0.0,1,0,2,1,10.0,False,0.0,[0. 0.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
19,20,0.0,0.0,1.0,0,1,0,1,10.0,False,,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
20,21,1.0,0.0,0.0,1,0,2,1,11.0,False,,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
21,22,0.0,0.0,1.0,0,1,0,1,11.0,False,1.0,[0. 0.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
22,23,2.0,0.0,0.0,1,0,1,1,12.0,False,1.0,[0. 0.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
23,24,0.0,0.0,2.0,0,1,0,1,12.0,False,1.0,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
24,25,2.0,0.0,0.0,1,0,2,1,13.0,False,1.0,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
25,26,0.0,0.0,2.0,0,1,0,1,13.0,False,0.0,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
26,27,1.0,0.0,0.0,1,0,1,1,14.0,False,0.0,[0. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
27,28,0.0,1.0,1.0,0,1,0,1,14.0,False,,[1. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
28,29,2.0,0.0,0.0,1,0,1,1,15.0,False,,[1. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
29,30,0.0,1.0,2.0,0,1,0,1,15.0,False,0.0,[0. 0.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
30,31,1.0,0.0,0.0,1,0,1,1,16.0,False,0.0,[0. 0.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
31,32,0.0,0.0,1.0,0,1,0,1,16.0,False,0.0,[1. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
32,33,1.0,0.0,0.0,1,0,1,1,17.0,False,0.0,[1. 1.],1,[2 1],[0.1 0.1],0.7,0.30000000000000004,0.6
