,obs_next,blockID,obs,trialID,t,is_done,reward,tot_t,action,stage,randomplanet,rewardplanet,highstate,transition,p_reward_low,p_trans,p_reward_high,p_ambiguity
0,2.0,1,0.0,1.0,1,False,0.0,1,2,0,1.0,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
1,0.0,1,2.0,1.0,0,False,1.0,2,0,1,1.0,[0. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
2,2.0,1,0.0,2.0,1,False,0.0,3,2,0,1.0,[0. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
3,0.0,1,2.0,2.0,0,False,1.0,4,0,1,0.0,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
4,1.0,1,0.0,3.0,1,False,0.0,5,2,0,0.0,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
5,0.0,1,1.0,3.0,0,False,1.0,6,0,1,,[0. 0.],1,[1 1],0.5,[0.8 0.8],0.5,0.6
6,1.0,1,0.0,4.0,1,False,0.0,7,2,0,,[0. 0.],1,[1 1],0.5,[0.8 0.8],0.5,0.6
7,0.0,1,1.0,4.0,0,False,0.0,8,0,1,,[0. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
8,2.0,1,0.0,5.0,1,False,0.0,9,2,0,,[0. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
9,0.0,1,2.0,5.0,0,False,0.0,10,0,1,1.0,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
10,2.0,1,0.0,6.0,1,False,0.0,11,2,0,1.0,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
11,0.0,1,2.0,6.0,0,False,1.0,12,0,1,0.0,[1. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
12,1.0,1,0.0,7.0,1,False,0.0,13,2,0,0.0,[1. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
13,0.0,1,1.0,7.0,0,False,0.0,14,0,1,0.0,[1. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
14,1.0,1,0.0,8.0,1,False,0.0,15,2,0,0.0,[1. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
15,0.0,1,1.0,8.0,0,False,0.0,16,0,1,,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
16,1.0,1,0.0,9.0,1,False,0.0,17,1,0,,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
17,0.0,1,1.0,9.0,0,False,1.0,18,0,1,,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
18,1.0,1,0.0,10.0,1,False,0.0,19,1,0,,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
19,0.0,1,1.0,10.0,0,False,1.0,20,0,1,0.0,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
20,1.0,1,0.0,11.0,1,False,0.0,21,1,0,0.0,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
21,0.0,1,1.0,11.0,0,False,1.0,22,0,1,1.0,[1. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
22,2.0,1,0.0,12.0,1,False,0.0,23,1,0,1.0,[1. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
23,0.0,1,2.0,12.0,0,False,1.0,24,0,1,1.0,[1. 0.],1,[1 1],0.5,[0.8 0.8],0.5,0.6
24,2.0,1,0.0,13.0,1,False,0.0,25,1,0,1.0,[1. 0.],1,[1 1],0.5,[0.8 0.8],0.5,0.6
25,0.0,1,2.0,13.0,0,False,1.0,26,0,1,,[0. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
26,1.0,1,0.0,14.0,1,False,0.0,27,1,0,,[0. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
27,0.0,1,1.0,14.0,0,False,0.0,28,0,1,0.0,[0. 0.],1,[2 2],0.5,[0.8 0.8],0.5,0.6
28,1.0,1,0.0,15.0,1,False,0.0,29,1,0,0.0,[0. 0.],1,[2 2],0.5,[0.8 0.8],0.5,0.6
29,0.0,1,1.0,15.0,0,False,0.0,30,0,1,,[1. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
30,1.0,1,0.0,16.0,1,False,0.0,31,1,0,,[1. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
31,0.0,1,1.0,16.0,0,False,1.0,32,0,1,,[0. 0.],1,[2 2],0.5,[0.8 0.8],0.5,0.6
32,2.0,1,0.0,17.0,1,False,0.0,33,1,0,,[0. 0.],1,[2 2],0.5,[0.8 0.8],0.5,0.6
33,0.0,1,2.0,17.0,0,False,0.0,34,0,1,1.0,[0. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
34,2.0,1,0.0,18.0,1,False,0.0,35,1,0,1.0,[0. 0.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
35,0.0,1,2.0,18.0,0,False,0.0,36,0,1,,[0. 0.],1,[1 1],0.5,[0.8 0.8],0.5,0.6
36,1.0,1,0.0,19.0,1,False,0.0,37,2,0,,[0. 0.],1,[1 1],0.5,[0.8 0.8],0.5,0.6
37,0.0,1,1.0,19.0,0,False,0.0,38,0,1,1.0,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
38,2.0,1,0.0,20.0,1,False,0.0,39,1,0,1.0,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
39,0.0,1,2.0,20.0,0,False,1.0,40,0,1,0.0,[1. 1.],1,[1 2],0.5,[0.8 0.8],0.5,0.6
