,tot_t,trialID,action,blockID,reward,obs,t,stage,is_done,obs_next,randomplanet,transition,rewardplanet,highstate,p_ambiguity,p_trans,p_reward_high,p_reward_low
0,1,1,1,1,0.0,0.0,0,1,False,1.0,0,[1 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
1,2,2,0,1,1.0,1.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
2,3,3,0,1,1.0,1.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
3,4,4,0,1,1.0,1.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
4,5,5,0,1,1.0,2.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
5,6,6,0,1,1.0,1.0,0,1,False,2.0,1,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
6,7,7,0,1,0.0,2.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
7,8,8,0,1,1.0,1.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
8,9,9,0,1,1.0,1.0,0,1,False,1.0,0,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
9,10,10,0,1,0.0,1.0,0,1,False,2.0,1,[2 2],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
10,11,11,0,1,1.0,2.0,0,1,False,1.0,0,[1 2],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
11,12,12,0,1,0.0,1.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
12,13,13,0,1,1.0,2.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
13,14,14,0,1,1.0,2.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
14,15,15,0,1,1.0,1.0,0,1,False,2.0,1,[2 2],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
15,16,16,0,1,1.0,2.0,0,1,False,2.0,1,[2 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
16,17,17,0,1,1.0,2.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
17,18,18,0,1,1.0,2.0,0,1,False,2.0,1,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
18,19,19,0,1,0.0,2.0,0,1,False,2.0,1,[2 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
19,20,20,0,1,1.0,2.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
20,21,21,0,1,1.0,1.0,0,1,False,1.0,0,[1 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
21,22,22,0,1,0.0,1.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
22,23,23,0,1,1.0,1.0,0,1,False,2.0,1,[1 2],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
23,24,24,0,1,0.0,2.0,0,1,False,1.0,0,[2 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
24,25,25,0,1,1.0,1.0,0,1,False,2.0,1,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
25,26,26,0,1,0.0,2.0,0,1,False,2.0,1,[2 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
26,27,27,0,1,1.0,2.0,0,1,False,2.0,1,[1 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
27,28,28,0,1,0.0,2.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
28,29,29,0,1,1.0,1.0,0,1,False,2.0,1,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
29,30,30,0,1,0.0,2.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
30,31,31,0,1,1.0,1.0,0,1,False,1.0,0,[1 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
31,32,32,0,1,0.0,1.0,0,1,False,1.0,0,[2 2],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
32,33,33,0,1,1.0,1.0,0,1,False,1.0,0,[2 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
33,34,34,0,1,1.0,1.0,0,1,False,2.0,1,[2 2],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
34,35,35,0,1,1.0,2.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
35,36,36,0,1,1.0,1.0,0,1,False,1.0,0,[2 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
36,37,37,0,1,1.0,1.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
37,38,38,0,1,1.0,1.0,0,1,False,2.0,1,[2 2],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
38,39,39,0,1,1.0,2.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
39,40,40,0,1,1.0,2.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
40,41,41,0,1,1.0,2.0,0,1,False,2.0,1,[2 1],[1. 0.],1,1.0,[0.2 0.2],0.75,0.25
41,42,42,0,1,0.0,2.0,0,1,False,1.0,0,[1 2],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
42,43,43,0,1,1.0,1.0,0,1,False,1.0,0,[1 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
43,44,44,0,1,1.0,1.0,0,1,False,2.0,1,[1 2],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
44,45,45,0,1,0.0,2.0,0,1,False,2.0,1,[1 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
45,46,46,0,1,0.0,2.0,0,1,False,2.0,1,[1 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
46,47,47,0,1,1.0,2.0,0,1,False,2.0,1,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
47,48,48,0,1,0.0,2.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
48,49,49,0,1,1.0,1.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
49,50,50,0,1,1.0,2.0,0,1,False,1.0,0,[2 2],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
50,51,51,0,1,0.0,1.0,0,1,False,1.0,0,[2 2],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
51,52,52,0,1,1.0,1.0,0,1,False,1.0,0,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
52,53,53,0,1,0.0,1.0,0,1,False,2.0,1,[2 1],[1. 0.],1,1.0,[0.2 0.2],0.75,0.25
53,54,54,0,1,0.0,2.0,0,1,False,1.0,0,[2 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
54,55,55,0,1,1.0,1.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
55,56,56,0,1,1.0,2.0,0,1,False,2.0,1,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
56,57,57,0,1,0.0,2.0,0,1,False,1.0,0,[1 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
57,58,58,0,1,0.0,1.0,0,1,False,1.0,0,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
58,59,59,0,1,0.0,1.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
59,60,60,1,1,0.0,2.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
60,61,61,0,1,1.0,1.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
61,62,62,0,1,1.0,2.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
62,63,63,0,1,1.0,1.0,0,1,False,2.0,1,[1 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
63,64,64,0,1,0.0,2.0,0,1,False,1.0,0,[1 1],[1. 0.],1,1.0,[0.2 0.2],0.75,0.25
64,65,65,0,1,1.0,1.0,0,1,False,2.0,1,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
65,66,66,0,1,0.0,2.0,0,1,False,1.0,0,[1 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
66,67,67,0,1,0.0,1.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
67,68,68,0,1,1.0,2.0,0,1,False,1.0,0,[1 1],[1. 0.],1,1.0,[0.2 0.2],0.75,0.25
68,69,69,0,1,1.0,1.0,0,1,False,1.0,0,[2 2],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
69,70,70,0,1,0.0,1.0,0,1,False,1.0,0,[1 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
70,71,71,0,1,0.0,1.0,0,1,False,2.0,1,[1 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
71,72,72,0,1,0.0,2.0,0,1,False,2.0,1,[2 2],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
72,73,73,1,1,1.0,2.0,0,1,False,1.0,0,[2 1],[0. 0.],1,1.0,[0.2 0.2],0.75,0.25
73,74,74,1,1,0.0,1.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
74,75,75,1,1,0.0,2.0,0,1,False,2.0,1,[2 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
75,76,76,0,1,1.0,2.0,0,1,False,2.0,1,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
76,77,77,0,1,1.0,2.0,0,1,False,1.0,0,[1 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
77,78,78,0,1,0.0,1.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
78,79,79,0,1,1.0,1.0,0,1,False,1.0,0,[1 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
79,80,80,0,1,0.0,1.0,0,1,False,1.0,0,[2 2],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
80,81,81,0,1,1.0,1.0,0,1,False,2.0,1,[2 1],[1. 1.],1,1.0,[0.2 0.2],0.75,0.25
81,82,82,0,1,1.0,2.0,0,1,False,1.0,0,[1 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
82,83,83,0,1,0.0,1.0,0,1,False,1.0,0,[1 2],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
83,84,84,0,1,0.0,1.0,0,1,False,1.0,0,[2 1],[0. 1.],1,1.0,[0.2 0.2],0.75,0.25
