,obs,trialID,tot_t,is_done,t,obs_next,reward,blockID,stage,action,transition,highstate,rewardplanet,randomplanet,p_reward_high,p_trans,p_ambiguity,p_reward_low
0,0.0,1,1,False,0,2.0,0.0,1,1,0,[1 2],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
1,2.0,2,2,False,0,2.0,0.0,1,1,1,[1 1],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
2,2.0,3,3,False,0,1.0,1.0,1,1,1,[2 1],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
3,1.0,4,4,False,0,1.0,1.0,1,1,1,[2 2],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
4,1.0,5,5,False,0,2.0,0.0,1,1,1,[2 1],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
5,2.0,6,6,False,0,1.0,1.0,1,1,1,[1 1],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
6,1.0,7,7,False,0,1.0,1.0,1,1,1,[1 2],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
7,1.0,8,8,False,0,2.0,0.0,1,1,1,[2 2],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
8,2.0,9,9,False,0,2.0,0.0,1,1,1,[1 1],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
9,2.0,10,10,False,0,1.0,1.0,1,1,1,[1 2],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
10,1.0,11,11,False,0,2.0,0.0,1,1,1,[1 1],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
11,2.0,12,12,False,0,1.0,1.0,1,1,1,[1 2],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
12,1.0,13,13,False,0,2.0,0.0,1,1,1,[1 2],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
13,2.0,14,14,False,0,2.0,0.0,1,1,1,[2 1],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
14,2.0,15,15,False,0,2.0,0.0,1,1,0,[2 2],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
15,2.0,16,16,False,0,2.0,0.0,1,1,1,[2 2],0,[1. 0.],,1.0,[0.6 0.6],0.0,0.0
