,is_done,stage,blockID,trialID,tot_t,action,t,obs_next,reward,obs,rewardplanet,randomplanet,transition,highstate,p_reward_high,p_reward_low,p_trans,p_ambiguity
0,False,1,1,1,1,0,0,2.0,0.0,0.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
1,False,1,1,2,2,1,0,1.0,1.0,2.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
2,False,1,1,3,3,1,0,1.0,1.0,1.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
3,False,1,1,4,4,1,0,2.0,0.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
4,False,1,1,5,5,1,0,1.0,1.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
5,False,1,1,6,6,1,0,1.0,1.0,1.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
6,False,1,1,7,7,1,0,2.0,0.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
7,False,1,1,8,8,1,0,1.0,1.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
8,False,1,1,9,9,1,0,1.0,1.0,1.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
9,False,1,1,10,10,1,0,1.0,1.0,1.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
10,False,1,1,11,11,1,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
11,False,1,1,12,12,1,0,2.0,0.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
12,False,1,1,13,13,1,0,1.0,1.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
13,False,1,1,14,14,1,0,1.0,1.0,1.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
14,False,1,1,15,15,1,0,2.0,0.0,1.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
15,False,1,1,16,16,1,0,1.0,1.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
16,False,1,1,17,17,1,0,1.0,1.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
17,False,1,1,18,18,1,0,1.0,1.0,1.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
18,False,1,1,19,19,1,0,1.0,1.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
19,False,1,1,20,20,1,0,1.0,1.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
20,False,1,1,21,21,1,0,1.0,1.0,1.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
21,False,1,1,22,22,1,0,2.0,0.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
22,False,1,1,23,23,1,0,1.0,1.0,2.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
23,False,1,1,24,24,1,0,2.0,0.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
24,False,1,1,25,25,1,0,1.0,1.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
25,False,1,1,26,26,1,0,1.0,1.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
26,False,1,1,27,27,1,0,1.0,1.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
27,False,1,1,28,28,1,0,1.0,1.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
28,False,1,1,29,29,1,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
29,False,1,1,30,30,1,0,2.0,0.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
30,False,1,1,31,31,1,0,2.0,0.0,2.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
31,False,1,1,32,32,1,0,2.0,0.0,2.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
32,False,1,1,33,33,1,0,2.0,0.0,2.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
33,False,1,1,34,34,1,0,2.0,0.0,2.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
34,False,1,1,35,35,1,0,2.0,0.0,2.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
35,False,1,1,36,36,1,0,2.0,0.0,2.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
36,False,1,1,37,37,1,0,2.0,0.0,2.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
37,False,1,1,38,38,0,0,1.0,1.0,2.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
38,False,1,1,39,39,0,0,1.0,1.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
39,False,1,1,40,40,0,0,2.0,0.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
40,False,1,1,41,41,0,0,1.0,1.0,2.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
41,False,1,1,42,42,0,0,1.0,1.0,1.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
42,False,1,1,43,43,0,0,1.0,1.0,1.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
43,False,1,1,44,44,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
44,False,1,1,45,45,0,0,1.0,1.0,1.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
45,False,1,1,46,46,0,0,2.0,0.0,1.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
46,False,1,1,47,47,0,0,2.0,0.0,2.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
47,False,1,1,48,48,0,0,2.0,0.0,2.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
48,False,1,1,49,49,0,0,1.0,1.0,2.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
49,False,1,1,50,50,0,0,1.0,1.0,1.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
50,False,1,1,51,51,0,0,2.0,0.0,1.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
51,False,1,1,52,52,0,0,1.0,1.0,2.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
52,False,1,1,53,53,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
53,False,1,1,54,54,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
54,False,1,1,55,55,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
55,False,1,1,56,56,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
56,False,1,1,57,57,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
57,False,1,1,58,58,0,0,1.0,1.0,1.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
58,False,1,1,59,59,0,0,2.0,0.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
59,False,1,1,60,60,0,0,1.0,1.0,2.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
60,False,1,1,61,61,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
61,False,1,1,62,62,0,0,1.0,1.0,1.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
62,False,1,1,63,63,0,0,2.0,0.0,1.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
63,False,1,1,64,64,0,0,1.0,1.0,2.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
64,False,1,1,65,65,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
65,False,1,1,66,66,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
66,False,1,1,67,67,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
67,False,1,1,68,68,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
68,False,1,1,69,69,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
69,False,1,1,70,70,0,0,1.0,1.0,1.0,[1. 0.],,[1 2],0,1.0,0.0,[0.2 0.2],0.0
70,False,1,1,71,71,0,0,1.0,1.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
71,False,1,1,72,72,0,0,2.0,0.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
72,False,1,1,73,73,0,0,2.0,0.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
73,False,1,1,74,74,0,0,2.0,0.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
74,False,1,1,75,75,0,0,2.0,0.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
75,False,1,1,76,76,0,0,2.0,0.0,2.0,[1. 0.],,[2 2],0,1.0,0.0,[0.2 0.2],0.0
76,False,1,1,77,77,0,0,2.0,0.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
77,False,1,1,78,78,0,0,2.0,0.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
78,False,1,1,79,79,0,0,2.0,0.0,2.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
79,False,1,1,80,80,0,0,1.0,1.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
80,False,1,1,81,81,0,0,2.0,0.0,1.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
81,False,1,1,82,82,0,0,1.0,1.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
82,False,1,1,83,83,0,0,2.0,0.0,1.0,[1. 0.],,[1 1],0,1.0,0.0,[0.2 0.2],0.0
83,False,1,1,84,84,0,0,1.0,1.0,2.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
84,False,1,1,85,85,0,0,2.0,0.0,1.0,[1. 0.],,[2 1],0,1.0,0.0,[0.2 0.2],0.0
85,False,1,1,86,86,0,0,2.0,0.0,2.0,[0. 1.],,[2 1],1,1.0,0.0,[0.2 0.2],0.0
86,False,1,1,87,87,0,0,2.0,1.0,2.0,[0. 1.],,[2 1],1,1.0,0.0,[0.2 0.2],0.0
