,is_done,blockID,stage,tot_t,obs,trialID,reward,obs_next,action,t,randomplanet,rewardplanet,highstate,transition,p_ambiguity,p_trans,p_reward_low,p_reward_high
0,False,1,1,1,0.0,1,0.0,1.0,1,0,,[0. 1.],0,[2 1],0.0,[1. 1.],0.5,0.5
1,False,1,1,2,1.0,2,0.0,1.0,1,0,,[1. 1.],0,[2 1],0.0,[1. 1.],0.5,0.5
2,False,1,1,3,1.0,3,1.0,2.0,0,0,,[1. 1.],0,[2 1],0.0,[1. 1.],0.5,0.5
3,False,1,1,4,2.0,4,1.0,2.0,0,0,,[0. 0.],0,[2 1],0.0,[1. 1.],0.5,0.5
4,False,1,1,5,2.0,5,0.0,2.0,0,0,,[0. 1.],0,[2 1],0.0,[1. 1.],0.5,0.5
5,False,1,1,6,2.0,6,1.0,2.0,0,0,,[1. 1.],0,[2 1],0.0,[1. 1.],0.5,0.5
6,False,1,1,7,2.0,7,1.0,2.0,0,0,,[1. 0.],1,[2 1],0.0,[1. 1.],0.5,0.5
7,False,1,1,8,2.0,8,0.0,2.0,0,0,,[0. 0.],1,[2 1],0.0,[1. 1.],0.5,0.5
8,False,1,1,9,2.0,9,0.0,2.0,0,0,,[0. 1.],1,[2 1],0.0,[1. 1.],0.5,0.5
9,False,1,1,10,2.0,10,1.0,2.0,0,0,,[0. 1.],1,[2 1],0.0,[1. 1.],0.5,0.5
10,False,1,1,11,2.0,11,1.0,2.0,0,0,,[0. 1.],1,[2 1],0.0,[1. 1.],0.5,0.5
11,False,1,1,12,2.0,12,1.0,2.0,0,0,,[1. 0.],1,[2 1],0.0,[1. 1.],0.5,0.5
12,False,1,1,13,2.0,13,0.0,2.0,0,0,,[1. 0.],1,[2 1],0.0,[1. 1.],0.5,0.5
13,False,1,1,14,2.0,14,0.0,2.0,0,0,,[0. 0.],1,[2 1],0.0,[1. 1.],0.5,0.5
14,False,1,1,15,2.0,15,0.0,2.0,0,0,,[1. 0.],1,[2 1],0.0,[1. 1.],0.5,0.5
