,tot_t,obs_next,trialID,stage,is_done,action,blockID,obs,reward,t,rewardplanet,randomplanet,transition,highstate,p_trans,p_reward_low,p_reward_high,p_ambiguity
0,1,1.0,1,1,False,0,1,0.0,1.0,0,[1. 0.],,[1 2],0,[0.7 0.7],0.0,1.0,0.0
1,2,1.0,2,1,False,0,1,1.0,1.0,0,[1. 0.],,[1 2],0,[0.7 0.7],0.0,1.0,0.0
2,3,1.0,3,1,False,0,1,1.0,1.0,0,[1. 0.],,[1 1],0,[0.7 0.7],0.0,1.0,0.0
3,4,1.0,4,1,False,0,1,1.0,1.0,0,[0. 1.],,[1 1],1,[0.7 0.7],0.0,1.0,0.0
4,5,1.0,5,1,False,0,1,1.0,0.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
5,6,1.0,6,1,False,0,1,1.0,0.0,0,[0. 1.],,[2 1],1,[0.7 0.7],0.0,1.0,0.0
6,7,2.0,7,1,False,0,1,1.0,1.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
7,8,1.0,8,1,False,0,1,2.0,0.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
8,9,2.0,9,1,False,1,1,1.0,1.0,0,[0. 1.],,[2 1],1,[0.7 0.7],0.0,1.0,0.0
9,10,1.0,10,1,False,1,1,2.0,0.0,0,[0. 1.],,[2 1],1,[0.7 0.7],0.0,1.0,0.0
10,11,1.0,11,1,False,1,1,1.0,0.0,0,[0. 1.],,[1 1],1,[0.7 0.7],0.0,1.0,0.0
11,12,1.0,12,1,False,1,1,1.0,0.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
12,13,2.0,13,1,False,1,1,1.0,1.0,0,[0. 1.],,[2 2],1,[0.7 0.7],0.0,1.0,0.0
13,14,2.0,14,1,False,1,1,2.0,1.0,0,[0. 1.],,[2 2],1,[0.7 0.7],0.0,1.0,0.0
14,15,2.0,15,1,False,1,1,2.0,1.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
15,16,2.0,16,1,False,1,1,2.0,1.0,0,[0. 1.],,[1 1],1,[0.7 0.7],0.0,1.0,0.0
16,17,1.0,17,1,False,1,1,2.0,0.0,0,[0. 1.],,[1 1],1,[0.7 0.7],0.0,1.0,0.0
17,18,1.0,18,1,False,1,1,1.0,0.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
18,19,2.0,19,1,False,1,1,1.0,1.0,0,[0. 1.],,[2 2],1,[0.7 0.7],0.0,1.0,0.0
19,20,2.0,20,1,False,1,1,2.0,1.0,0,[0. 1.],,[2 2],1,[0.7 0.7],0.0,1.0,0.0
20,21,2.0,21,1,False,1,1,2.0,1.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
21,22,2.0,22,1,False,1,1,2.0,1.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
22,23,2.0,23,1,False,1,1,2.0,1.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
23,24,2.0,24,1,False,1,1,2.0,1.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
24,25,2.0,25,1,False,1,1,2.0,1.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
25,26,2.0,26,1,False,1,1,2.0,1.0,0,[0. 1.],,[1 1],1,[0.7 0.7],0.0,1.0,0.0
26,27,1.0,27,1,False,1,1,2.0,0.0,0,[0. 1.],,[2 1],1,[0.7 0.7],0.0,1.0,0.0
27,28,1.0,28,1,False,1,1,1.0,0.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
28,29,2.0,29,1,False,1,1,1.0,1.0,0,[0. 1.],,[1 1],1,[0.7 0.7],0.0,1.0,0.0
29,30,1.0,30,1,False,1,1,2.0,0.0,0,[0. 1.],,[1 2],1,[0.7 0.7],0.0,1.0,0.0
30,31,2.0,31,1,False,1,1,1.0,1.0,0,[0. 1.],,[2 1],1,[0.7 0.7],0.0,1.0,0.0
