,tot_t,obs_next,obs,reward,t,action,stage,blockID,trialID,is_done,randomplanet,transition,highstate,rewardplanet,p_ambiguity,p_reward_high,p_reward_low,p_trans
0,1,1.0,0.0,0.0,0,1,1,1,1,False,,[2 1],0,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
1,2,1.0,1.0,0.0,0,1,1,1,2,False,,[2 2],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
2,3,2.0,1.0,0.0,0,0,1,1,3,False,,[2 1],0,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
3,4,2.0,2.0,1.0,0,0,1,1,4,False,,[2 1],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
4,5,2.0,2.0,0.0,0,0,1,1,5,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
5,6,2.0,2.0,1.0,0,0,1,1,6,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
6,7,2.0,2.0,1.0,0,0,1,1,7,False,,[1 1],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
7,8,1.0,2.0,1.0,0,0,1,1,8,False,,[2 1],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
8,9,2.0,1.0,0.0,0,0,1,1,9,False,,[2 1],0,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
9,10,1.0,2.0,0.0,0,1,1,1,10,False,,[2 2],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
10,11,2.0,1.0,0.0,0,0,1,1,11,False,,[2 1],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
11,12,1.0,2.0,0.0,0,1,1,1,12,False,,[2 2],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
12,13,2.0,1.0,0.0,0,0,1,1,13,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
13,14,1.0,2.0,1.0,0,1,1,1,14,False,,[1 1],1,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
14,15,1.0,1.0,1.0,0,1,1,1,15,False,,[2 1],1,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
15,16,1.0,1.0,1.0,0,1,1,1,16,False,,[2 1],1,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
16,17,1.0,1.0,1.0,0,1,1,1,17,False,,[2 1],1,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
17,18,1.0,1.0,1.0,0,1,1,1,18,False,,[2 1],1,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
18,19,1.0,1.0,1.0,0,1,1,1,19,False,,[2 1],1,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
19,20,1.0,1.0,1.0,0,1,1,1,20,False,,[2 1],1,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
20,21,1.0,1.0,0.0,0,1,1,1,21,False,,[2 1],1,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
21,22,1.0,1.0,1.0,0,1,1,1,22,False,,[2 1],1,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
22,23,1.0,1.0,0.0,0,1,1,1,23,False,,[2 1],1,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
23,24,1.0,1.0,1.0,0,1,1,1,24,False,,[2 1],1,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
24,25,1.0,1.0,0.0,0,1,1,1,25,False,,[2 1],1,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
25,26,1.0,1.0,0.0,0,1,1,1,26,False,,[2 2],1,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
26,27,2.0,1.0,0.0,0,1,1,1,27,False,,[2 1],1,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
27,28,1.0,2.0,1.0,0,1,1,1,28,False,,[2 1],1,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
28,29,1.0,1.0,1.0,0,1,1,1,29,False,,[2 2],1,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
29,30,2.0,1.0,1.0,0,1,1,1,30,False,,[2 1],1,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
30,31,1.0,2.0,1.0,0,1,1,1,31,False,,[2 1],1,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
31,32,1.0,1.0,1.0,0,1,1,1,32,False,,[2 1],1,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
32,33,1.0,1.0,0.0,0,1,1,1,33,False,,[2 1],1,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
33,34,1.0,1.0,0.0,0,1,1,1,34,False,,[2 1],1,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
34,35,1.0,1.0,0.0,0,1,1,1,35,False,,[2 1],1,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
35,36,2.0,1.0,1.0,0,0,1,1,36,False,,[1 2],1,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
36,37,1.0,2.0,0.0,0,0,1,1,37,False,,[2 1],1,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
37,38,2.0,1.0,1.0,0,0,1,1,38,False,,[2 1],1,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
38,39,2.0,2.0,0.0,0,0,1,1,39,False,,[2 1],1,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
39,40,2.0,2.0,0.0,0,0,1,1,40,False,,[2 1],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
40,41,2.0,2.0,0.0,0,0,1,1,41,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
41,42,1.0,2.0,1.0,0,1,1,1,42,False,,[2 1],0,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
42,43,1.0,1.0,0.0,0,1,1,1,43,False,,[2 1],0,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
43,44,1.0,1.0,0.0,0,1,1,1,44,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
44,45,1.0,1.0,1.0,0,1,1,1,45,False,,[1 1],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
45,46,1.0,1.0,0.0,0,1,1,1,46,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
46,47,1.0,1.0,1.0,0,1,1,1,47,False,,[2 1],0,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
47,48,1.0,1.0,0.0,0,1,1,1,48,False,,[2 1],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
48,49,1.0,1.0,1.0,0,1,1,1,49,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
49,50,1.0,1.0,1.0,0,1,1,1,50,False,,[2 1],0,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
50,51,1.0,1.0,0.0,0,1,1,1,51,False,,[2 1],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
51,52,1.0,1.0,1.0,0,1,1,1,52,False,,[2 1],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
52,53,1.0,1.0,0.0,0,1,1,1,53,False,,[2 1],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
53,54,1.0,1.0,1.0,0,1,1,1,54,False,,[2 1],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
54,55,1.0,1.0,0.0,0,1,1,1,55,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
55,56,1.0,1.0,1.0,0,1,1,1,56,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
56,57,1.0,1.0,1.0,0,1,1,1,57,False,,[2 1],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
57,58,1.0,1.0,0.0,0,1,1,1,58,False,,[2 2],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
58,59,2.0,1.0,0.0,0,1,1,1,59,False,,[2 1],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
59,60,1.0,2.0,1.0,0,1,1,1,60,False,,[2 2],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
60,61,2.0,1.0,0.0,0,1,1,1,61,False,,[2 1],0,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
61,62,1.0,2.0,0.0,0,1,1,1,62,False,,[2 1],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
62,63,1.0,1.0,1.0,0,1,1,1,63,False,,[2 1],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
63,64,1.0,1.0,0.0,0,1,1,1,64,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
64,65,1.0,1.0,1.0,0,1,1,1,65,False,,[2 1],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
65,66,1.0,1.0,1.0,0,1,1,1,66,False,,[2 1],0,[1. 1.],0.0,0.5,0.5,[0.1 0.1]
66,67,1.0,1.0,1.0,0,1,1,1,67,False,,[2 1],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
67,68,1.0,1.0,0.0,0,1,1,1,68,False,,[2 1],0,[0. 0.],0.0,0.5,0.5,[0.1 0.1]
68,69,1.0,1.0,0.0,0,1,1,1,69,False,,[2 1],0,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
69,70,1.0,1.0,0.0,0,1,1,1,70,False,,[2 1],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
70,71,2.0,1.0,0.0,0,0,1,1,71,False,,[2 2],0,[0. 1.],0.0,0.5,0.5,[0.1 0.1]
71,72,2.0,2.0,1.0,0,1,1,1,72,False,,[2 1],0,[1. 0.],0.0,0.5,0.5,[0.1 0.1]
