,is_done,action,tot_t,t,obs,trialID,reward,obs_next,blockID,stage,transition,randomplanet,rewardplanet,highstate,p_reward_high,p_reward_low,p_ambiguity,p_trans
0,False,0,1,0,0.0,1,0.0,2.0,1,1,[2 1],,[1. 0.],0,0.6,0.4,0.0,[0.4 0.4]
1,False,1,2,0,2.0,2,1.0,1.0,1,1,[2 2],,[0. 0.],0,0.6,0.4,0.0,[0.4 0.4]
2,False,1,3,0,1.0,3,0.0,2.0,1,1,[2 1],,[1. 0.],0,0.6,0.4,0.0,[0.4 0.4]
3,False,1,4,0,2.0,4,1.0,1.0,1,1,[2 1],,[1. 0.],0,0.6,0.4,0.0,[0.4 0.4]
4,False,1,5,0,1.0,5,1.0,1.0,1,1,[2 2],,[0. 0.],0,0.6,0.4,0.0,[0.4 0.4]
5,False,1,6,0,1.0,6,0.0,2.0,1,1,[1 1],,[1. 0.],0,0.6,0.4,0.0,[0.4 0.4]
6,False,1,7,0,2.0,7,1.0,1.0,1,1,[1 2],,[1. 0.],0,0.6,0.4,0.0,[0.4 0.4]
7,False,1,8,0,1.0,8,0.0,2.0,1,1,[1 1],,[1. 1.],0,0.6,0.4,0.0,[0.4 0.4]
8,False,1,9,0,2.0,9,1.0,1.0,1,1,[2 1],,[1. 0.],0,0.6,0.4,0.0,[0.4 0.4]
9,False,1,10,0,1.0,10,1.0,1.0,1,1,[2 1],,[1. 1.],0,0.6,0.4,0.0,[0.4 0.4]
10,False,1,11,0,1.0,11,1.0,1.0,1,1,[2 1],,[1. 1.],0,0.6,0.4,0.0,[0.4 0.4]
11,False,1,12,0,1.0,12,1.0,1.0,1,1,[2 2],,[1. 1.],0,0.6,0.4,0.0,[0.4 0.4]
12,False,1,13,0,1.0,13,1.0,2.0,1,1,[2 1],,[0. 0.],0,0.6,0.4,0.0,[0.4 0.4]
13,False,1,14,0,2.0,14,0.0,1.0,1,1,[2 1],,[0. 0.],0,0.6,0.4,0.0,[0.4 0.4]
14,False,1,15,0,1.0,15,0.0,1.0,1,1,[1 1],,[0. 0.],0,0.6,0.4,0.0,[0.4 0.4]
15,False,1,16,0,1.0,16,0.0,1.0,1,1,[2 2],,[0. 0.],0,0.6,0.4,0.0,[0.4 0.4]
16,False,0,17,0,1.0,17,0.0,2.0,1,1,[2 1],,[1. 0.],0,0.6,0.4,0.0,[0.4 0.4]
17,False,1,18,0,2.0,18,1.0,1.0,1,1,[2 1],,[1. 1.],1,0.6,0.4,0.0,[0.4 0.4]
18,False,1,19,0,1.0,19,1.0,1.0,1,1,[2 1],,[1. 1.],1,0.6,0.4,0.0,[0.4 0.4]
19,False,1,20,0,1.0,20,1.0,1.0,1,1,[2 1],,[1. 1.],1,0.6,0.4,0.0,[0.4 0.4]
20,False,1,21,0,1.0,21,1.0,1.0,1,1,[1 1],,[0. 1.],1,0.6,0.4,0.0,[0.4 0.4]
21,False,1,22,0,1.0,22,0.0,1.0,1,1,[1 2],,[1. 0.],1,0.6,0.4,0.0,[0.4 0.4]
22,False,1,23,0,1.0,23,0.0,2.0,1,1,[2 2],,[0. 1.],1,0.6,0.4,0.0,[0.4 0.4]
23,False,1,24,0,2.0,24,1.0,2.0,1,1,[2 1],,[0. 1.],1,0.6,0.4,0.0,[0.4 0.4]
24,False,1,25,0,2.0,25,0.0,1.0,1,1,[1 1],,[1. 0.],1,0.6,0.4,0.0,[0.4 0.4]
25,False,1,26,0,1.0,26,1.0,1.0,1,1,[1 1],,[0. 1.],1,0.6,0.4,0.0,[0.4 0.4]
26,False,1,27,0,1.0,27,0.0,1.0,1,1,[2 1],,[1. 1.],0,0.6,0.4,0.0,[0.4 0.4]
27,False,1,28,0,1.0,28,1.0,1.0,1,1,[2 1],,[0. 1.],0,0.6,0.4,0.0,[0.4 0.4]
28,False,1,29,0,1.0,29,0.0,1.0,1,1,[1 1],,[0. 0.],0,0.6,0.4,0.0,[0.4 0.4]
29,False,1,30,0,1.0,30,0.0,1.0,1,1,[2 1],,[0. 0.],0,0.6,0.4,0.0,[0.4 0.4]
30,False,0,31,0,1.0,31,0.0,2.0,1,1,[2 1],,[1. 0.],0,0.6,0.4,0.0,[0.4 0.4]
31,False,1,32,0,2.0,32,1.0,1.0,1,1,[2 1],,[1. 1.],0,0.6,0.4,0.0,[0.4 0.4]
32,False,1,33,0,1.0,33,1.0,1.0,1,1,[1 2],,[1. 1.],0,0.6,0.4,0.0,[0.4 0.4]
33,False,1,34,0,1.0,34,1.0,2.0,1,1,[2 1],,[1. 1.],0,0.6,0.4,0.0,[0.4 0.4]
34,False,1,35,0,2.0,35,1.0,1.0,1,1,[2 1],,[1. 0.],0,0.6,0.4,0.0,[0.4 0.4]
